*p,Ger,f
*p,La,p
*p,Agr,p
*b,Ger,p
*b,La,b
*b,Agr,b
*bh,Ger,b
*bh,La,f
*bh,La,b
*bh,Agr,ph
*t,Ger,th
*t,La,t
*t,Agr,t
*d,Ger,t
*d,La,d
*d,Agr,d
*dh,Ger,d
*dh,La,d
*dh,La,f
*dh,Agr,th
*k,Ger,h
*k,La,c
*k,Agr,k
*g,Ger,c
*g,La,g
*g,Agr,g
*gh,Ger,g
*gh,La,h
*gh,Agr,kh
*k,Ger,hw
*k,La,qu
*k,Agr,p
*k,Agr,t
*g,Ger,cw
*g,La,v
*g,La,gu
*g,Agr,b
*g,Agr,d
*gh,Ger,w
*gh,La,f
*gh,La,u
*gh,Agr,ph
*gh,Agr,th
*s,Ger,s
*s,La,s
*s,Agr,h
*s,Agr,th
*s,Agr,s
*y,Ger,gi
*y,La,i
*y,Agr,h
*y,Agr,z
*w,Ger,w
*w,La,w
*w,Agr,w
*m,Ger,m
*m,La,m
*m,Agr,m
*n,Ger,n
*n,La,n
*n,Agr,n
*l,Ger,l
*l,La,l
*l,Agr,l
*r,Ger,r
*r,La,r
*r,Agr,r
